SKU,Brand,Product Name,Category,ADL Price,MEL Price,Price Difference,ADL packaging,MEL packaging,ADL Specials,MEL Specials,Same Specials,ADL Suppliers,MEL Suppliers
1726056P,Powerade,Mountain Blast Sports Drink,Drinks,3.65,3.5,0.1499999999999999,600mL,600mL,,,True,"['931858 COCA COLA AMATIL AUST P/L (DIREC', '931859 COCA COLA AMATIL AUST P/L (GHPL)']","['931858 COCA COLA AMATIL AUST P/L (DIREC', '931859 COCA COLA AMATIL AUST P/L (GHPL)']"
3014770P,Schweppes,Soda Water,Summer Entertaining,1.7,1.6,0.09999999999999987,1.1L,1.1L,$pecials,$pecials,True,['44059 ASAHI BEVERAGES PTY LTD'],['44059 ASAHI BEVERAGES PTY LTD']
224857P,Fanta,Orange,Summer Entertaining,2.35,2.25,0.10000000000000009,2L,2L,,,True,"['800825 DELETED LINE SUPPLIER', '931858 COCA COLA AMATIL AUST P/L (DIREC', '800144 PARMALAT AUST LTD', '10383 COCA-COLA AMATIL (AUST) P/L', '931859 COCA COLA AMATIL AUST P/L (GHPL)', '37079 PARMALAT AUST LTD', '920367 PARMALAT AUST LTD', '722642 COCA-COLA AMATIL (AUST) P/L']","['800825 DELETED LINE SUPPLIER', '931858 COCA COLA AMATIL AUST P/L (DIREC', '800144 PARMALAT AUST LTD', '10383 COCA-COLA AMATIL (AUST) P/L', '931859 COCA COLA AMATIL AUST P/L (GHPL)', '37079 PARMALAT AUST LTD', '920367 PARMALAT AUST LTD', '722642 COCA-COLA AMATIL (AUST) P/L']"
3026000P,Mr Finch,Pear Cider Bottle 330mL,Liquor,40.0,38.0,2.0,24 Pack,24 Pack,$pecials,$pecials,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
275585P,Five Brothers,Provvista Sugo Classica Pasta Sauce,Pantry,3.5,3.4,0.10000000000000009,700g,700g,,,True,"['969030 SYMINGTONS AUSTRALIA PTY LIMITED', '14729 SIMPLOT AUST P/L', '421901 UNILEVER A/ASIA FOODS']","['969030 SYMINGTONS AUSTRALIA PTY LIMITED', '14729 SIMPLOT AUST P/L', '421901 UNILEVER A/ASIA FOODS']"
2887480P,Pepsi,Max Vanilla Multipack Cans 375mL,Drinks,12.3,11.05,1.25,10 pack,10 pack,,,True,['44059 ASAHI BEVERAGES PTY LTD'],['44059 ASAHI BEVERAGES PTY LTD']
1725993P,Powerade,Lemon Lime Sports Drink,Drinks,3.65,3.5,0.1499999999999999,600mL,600mL,,,True,"['931858 COCA COLA AMATIL AUST P/L (DIREC', '931859 COCA COLA AMATIL AUST P/L (GHPL)']","['931858 COCA COLA AMATIL AUST P/L (DIREC', '931859 COCA COLA AMATIL AUST P/L (GHPL)']"
5409452P,Coles,Raspberry Jam,Back to School,1.9,2.0,0.10000000000000009,480g,480g,,,True,"['933282 SPC ARDMONA OPERATIONS LTD (PRIV', '973931 MATERNE POLSKA', '145823 OVERSEAS SUPPLIER']","['933282 SPC ARDMONA OPERATIONS LTD (PRIV', '973931 MATERNE POLSKA', '145823 OVERSEAS SUPPLIER']"
10016P,Victoria Bitter,Can 375mL,Liquor,58.0,48.0,10.0,24 Pack,24 Pack,,$pecials,False,['9393 CUB P/L'],['9393 CUB P/L']
401657P,Coca-Cola,Sprite Soft Drink Lemon Lime,Summer Entertaining,1.3,1.25,0.050000000000000044,1.25L,1.25L,$pecials,$pecials,True,"['722642 COCA-COLA', '800825 DELETED LI', '931858 COCA COLA', '10383 COCA-COLA AMATIL (AUST) P/L', '37079 LACTALIS AUSTRALIA P/L', '800144 PARMALAT A', '931859 COCA COLA']","['722642 COCA-COLA', '800825 DELETED LI', '931858 COCA COLA', '10383 COCA-COLA AMATIL (AUST) P/L', '37079 LACTALIS AUSTRALIA P/L', '800144 PARMALAT A', '931859 COCA COLA']"
2018710P,Uberbrau,Imported Lager Bottle 330mL,Liquor,12.0,11.0,1.0,6 Pack,6 Pack,,,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
3218759P,Fat Pixie,Hard Ginger Beer Can 375mL,Liquor,13.0,12.0,1.0,4 Pack,4 Pack,$pecials,$pecials,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
9917896P,Cobram Estate,Extra Virgin Olive Oil Light Spray,Pantry,5.6,5.5,0.09999999999999964,225g,225g,,,True,['963407 COBRAM ESTATE'],['963407 COBRAM ESTATE']
